text,label
"The internship experience was amazing and very well organized.",positive
"I learned a lot and the mentors were supportive.",positive
"The guidance was poor and the onboarding felt confusing.",negative
"I was disappointed with the lack of feedback and structure.",negative
"The project was interesting and the team was helpful.",positive
"The tasks were unclear and I felt lost most of the time.",negative
"The workshop was engaging and the sessions were insightful.",positive
"The support from the manager was weak and frustrating.",negative
"The environment was positive and the learning experience was great.",positive
"I had a bad experience due to poor communication and unclear expectations.",negative
